EmployeeID,Age,Attrition,BusinessTravel,Department,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
1061,28,No,Travel_Rarely,Research & Development,Human Resources,Female,Research Scientist,4,Married,5839,No,5,1,5,0
1062,53,No,Travel_Rarely,Research & Development,Human Resources,Male,Healthcare Representative,4,Married,8675,No,0,1,0,0
1063,20,Yes,Travel_Rarely,Sales,Other,Female,Sales Representative,2,Divorced,2551,Yes,0,2,0,0
1064,56,Yes,Travel_Rarely,Research & Development,Marketing,Female,Healthcare Representative,3,Divorced,7194,Yes,1,2,1,0
1065,48,Yes,Travel_Rarely,Human Resources,Human Resources,Female,Manager,3,Married,18142,Yes,18,3,1,0
1066,22,No,Travel_Rarely,Sales,Other,Female,Manager,3,Divorced,22161,No,3,2,3,3
1067,27,No,Travel_Rarely,Research & Development,Marketing,Female,Manager,2,Single,21094,No,8,1,8,2
1068,42,No,Travel_Rarely,Sales,Technical Degree,Male,Manager,3,Single,20127,No,7,3,7,3
1069,44,No,Travel_Rarely,Research & Development,Human Resources,Female,Laboratory Technician,4,Divorced,4741,Yes,25,3,9,0
1070,42,No,Travel_Frequently,Research & Development,Technical Degree,Female,Manager,2,Divorced,20641,No,1,1,1,0
1071,21,No,Travel_Rarely,Research & Development,Human Resources,Female,Laboratory Technician,4,Divorced,3026,No,2,3,2,1
1072,45,No,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,2,Single,5091,Yes,10,4,10,1
1073,53,No,Travel_Frequently,Human Resources,Human Resources,Male,Manager,4,Single,19699,No,23,1,6,0
1074,27,No,Travel_Frequently,Research & Development,Other,Male,Laboratory Technician,2,Married,3457,No,8,3,1,1
1075,27,Yes,Travel_Rarely,Research & Development,Marketing,Male,Laboratory Technician,2,Single,4594,Yes,7,3,7,0
1076,26,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,1,Married,18203,Yes,7,3,3,3
1077,25,No,Non-Travel,Research & Development,Other,Female,Healthcare Representative,3,Married,7864,No,6,3,6,0
1078,25,No,Travel_Frequently,Research & Development,Technical Degree,Female,Healthcare Representative,4,Married,8563,No,6,4,0,0
1079,25,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,1,Single,21785,No,3,1,2,0
1080,54,No,Travel_Rarely,Research & Development,Marketing,Male,Research Director,1,Divorced,22375,No,8,3,6,1
1081,49,No,Travel_Rarely,Research & Development,Human Resources,Female,Laboratory Technician,4,Single,3131,No,2,1,0,0
1082,38,No,Non-Travel,Sales,Medical,Female,Manager,1,Married,16566,No,19,1,2,0
1083,42,No,Travel_Rarely,Research & Development,Human Resources,Female,Laboratory Technician,1,Married,3624,No,3,1,2,2
1084,36,No,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,3,Single,7037,No,2,1,2,0
1085,27,Yes,Travel_Rarely,Sales,Human Resources,Male,Sales Executive,2,Married,7122,No,8,3,2,0
1086,39,No,Non-Travel,Sales,Other,Female,Sales Executive,3,Divorced,7608,Yes,8,2,5,2
1087,46,No,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,3,Divorced,5240,No,18,2,1,1
1088,51,No,Travel_Rarely,Research & Development,Medical,Male,Research Director,1,Divorced,20293,No,2,2,2,0
1089,50,No,Travel_Rarely,Sales,Life Sciences,Female,Manager,3,Married,21341,No,6,3,4,1
1090,56,No,Travel_Frequently,Research & Development,Other,Female,Manufacturing Director,1,Married,7359,Yes,0,1,0,0
1091,21,No,Travel_Rarely,Research & Development,Marketing,Male,Manager,1,Divorced,17714,No,2,4,2,2
1092,34,No,Travel_Frequently,Research & Development,Human Resources,Male,Research Scientist,4,Divorced,7399,No,12,4,12,1
1093,40,Yes,Travel_Frequently,Research & Development,Human Resources,Male,Research Scientist,2,Married,5406,No,0,3,0,0
1094,44,No,Travel_Rarely,Research & Development,Technical Degree,Female,Manager,2,Single,18614,No,1,1,1,0
1095,32,No,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,1,Divorced,4377,Yes,4,1,4,0
1096,30,No,Travel_Rarely,Research & Development,Human Resources,Female,Laboratory Technician,2,Single,3718,No,11,4,8,3
1097,49,No,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,4,Married,7930,No,23,4,1,1
1098,42,No,Travel_Rarely,Sales,Medical,Female,Sales Representative,3,Single,2984,No,8,4,0,0
1099,47,No,Travel_Rarely,Human Resources,Marketing,Male,Human Resources,1,Divorced,6333,No,21,3,15,1
1100,27,Yes,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,1,Divorced,3650,No,0,1,0,0
1101,26,No,Travel_Rarely,Human Resources,Technical Degree,Male,Manager,1,Divorced,16617,No,7,1,1,0
1102,28,No,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,3,Married,3359,Yes,3,1,0,0
1103,59,Yes,Travel_Rarely,Research & Development,Marketing,Female,Research Scientist,1,Divorced,5111,Yes,4,3,2,2
1104,48,No,Travel_Frequently,Sales,Medical,Male,Manager,1,Married,17052,No,29,3,3,0
1105,44,No,Travel_Rarely,Research & Development,Marketing,Female,Research Director,1,Married,20313,Yes,25,3,4,0
1106,40,No,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,4,Married,9899,No,21,1,4,1
1107,37,No,Non-Travel,Sales,Life Sciences,Male,Sales Representative,3,Divorced,3135,No,3,4,3,1
1108,51,No,Travel_Rarely,Research & Development,Human Resources,Female,Manufacturing Director,1,Married,7949,No,16,2,6,6
1109,21,No,Travel_Rarely,Research & Development,Marketing,Male,Research Director,3,Single,16781,No,2,4,2,2
1110,50,No,Travel_Rarely,Sales,Medical,Male,Sales Executive,3,Married,9073,No,7,4,7,0
1111,47,No,Travel_Rarely,Sales,Human Resources,Male,Manager,3,Married,27035,No,28,3,9,6
1112,31,Yes,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,2,Divorced,4951,No,12,1,1,1
1113,55,No,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,2,Divorced,7455,No,0,2,0,0
1114,29,No,Travel_Frequently,Sales,Other,Female,Sales Executive,3,Single,8470,No,3,2,3,0
1115,53,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,3,Single,16851,Yes,0,1,0,0
1116,60,No,Travel_Rarely,Human Resources,Human Resources,Female,Manager,3,Married,15838,No,2,4,2,1
1117,22,No,Travel_Frequently,Research & Development,Medical,Female,Manager,3,Divorced,17251,Yes,1,3,1,1
1118,34,No,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,4,Divorced,6678,No,6,2,1,0
1119,29,No,Travel_Frequently,Research & Development,Marketing,Male,Laboratory Technician,4,Single,3494,Yes,6,2,4,1
1120,60,No,Travel_Rarely,Sales,Technical Degree,Male,Manager,3,Divorced,16335,Yes,11,4,2,0
1121,54,No,Travel_Rarely,Research & Development,Technical Degree,Female,Manufacturing Director,1,Married,8142,No,3,2,2,1
1122,28,No,Travel_Rarely,Research & Development,Other,Male,Manufacturing Director,4,Married,6763,Yes,2,4,2,1
1123,29,No,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,4,Married,8803,No,4,3,4,3
1124,56,No,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,2,Single,8751,No,3,1,3,3
1125,21,No,Travel_Rarely,Research & Development,Other,Female,Laboratory Technician,2,Divorced,3438,No,2,4,2,0
1126,27,No,Travel_Frequently,Research & Development,Human Resources,Female,Manager,4,Divorced,19949,No,7,3,4,4
1127,36,No,Travel_Rarely,Research & Development,Other,Female,Laboratory Technician,4,Married,3160,No,8,3,1,1
1128,53,No,Travel_Rarely,Sales,Technical Degree,Female,Manager,3,Divorced,23218,No,4,1,4,3
1129,53,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,1,Married,3140,No,3,2,3,0
1130,25,No,Travel_Rarely,Research & Development,Marketing,Female,Healthcare Representative,4,Married,8822,Yes,6,4,0,0
1131,60,No,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,2,Single,6579,No,8,1,4,2
1132,21,No,Travel_Frequently,Research & Development,Technical Degree,Female,Manufacturing Director,4,Single,8716,No,0,2,0,0
1133,29,No,Travel_Rarely,Research & Development,Human Resources,Female,Manufacturing Director,2,Married,7551,No,10,2,6,2
1134,44,No,Travel_Rarely,Research & Development,Marketing,Female,Research Scientist,2,Divorced,4885,Yes,11,4,1,0
1135,35,No,Travel_Rarely,Research & Development,Marketing,Female,Research Scientist,3,Divorced,5437,No,10,1,7,0
1136,49,No,Travel_Rarely,Sales,Other,Male,Sales Executive,2,Divorced,6697,No,1,2,1,1
1137,42,No,Travel_Rarely,Research & Development,Other,Female,Manager,2,Single,17916,No,0,2,0,0
1138,56,No,Travel_Rarely,Research & Development,Marketing,Male,Manager,1,Married,18095,Yes,6,4,6,1
1139,32,Yes,Travel_Frequently,Sales,Technical Degree,Male,Sales Executive,1,Single,5670,No,8,4,0,0
1140,60,No,Travel_Rarely,Research & Development,Marketing,Male,Manager,1,Single,18532,No,33,2,2,2
1141,52,No,Travel_Rarely,Human Resources,Medical,Female,Manager,4,Married,19843,No,1,4,1,1
1142,26,No,Travel_Rarely,Sales,Technical Degree,Male,Sales Executive,1,Single,7654,No,0,1,0,0
1143,47,No,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,3,Married,6661,No,2,3,1,1
1144,54,No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,3,Married,9867,No,29,4,12,4
1145,30,No,Travel_Rarely,Sales,Other,Male,Sales Representative,1,Married,2744,No,11,4,3,3
1146,40,No,Travel_Rarely,Sales,Other,Male,Sales Executive,3,Single,7742,No,10,4,10,3
1147,54,No,Travel_Rarely,Sales,Technical Degree,Male,Manager,2,Divorced,17020,No,2,1,1,1
1148,44,No,Travel_Rarely,Research & Development,Technical Degree,Female,Laboratory Technician,3,Single,3586,No,24,3,4,2
1149,49,No,Travel_Frequently,Research & Development,Other,Female,Manager,2,Married,17659,Yes,14,1,2,0
1150,33,No,Travel_Rarely,Sales,Human Resources,Female,Sales Representative,4,Single,3198,No,4,4,4,1
1151,50,No,Travel_Frequently,Sales,Technical Degree,Male,Manager,1,Divorced,21809,No,2,1,2,2
1152,28,Yes,Travel_Rarely,Sales,Other,Female,Manager,4,Single,18339,No,0,4,0,0
1153,36,No,Travel_Frequently,Sales,Other,Male,Manager,2,Single,20138,No,7,1,2,1
1154,35,No,Travel_Rarely,Sales,Life Sciences,Male,Manager,2,Single,17456,No,16,3,1,1
1155,54,No,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,3,Single,7870,No,6,1,6,2
1156,55,No,Travel_Rarely,Research & Development,Marketing,Male,Manager,1,Single,20192,No,6,2,0,0
1157,44,No,Travel_Rarely,Research & Development,Medical,Male,Manager,3,Divorced,19293,No,25,4,2,1
1158,22,No,Travel_Rarely,Research & Development,Technical Degree,Female,Manufacturing Director,3,Single,8022,No,1,1,1,0
1159,46,No,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,1,Divorced,8870,No,2,1,2,0
1160,25,No,Non-Travel,Research & Development,Other,Female,Manufacturing Director,4,Single,8150,Yes,0,4,0,0
1161,54,No,Travel_Rarely,Sales,Medical,Female,Sales Representative,1,Single,2560,No,0,2,0,0
1162,36,No,Non-Travel,Sales,Technical Degree,Male,Sales Representative,3,Married,2593,No,6,2,0,0
1163,19,Yes,Travel_Rarely,Sales,Human Resources,Male,Sales Representative,2,Married,2941,No,0,3,0,0
1164,39,No,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,4,Divorced,8598,Yes,3,3,3,1
1165,54,No,Travel_Frequently,Human Resources,Medical,Female,Human Resources,1,Single,3878,No,0,4,0,0
1166,46,No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,4,Single,6615,No,15,1,0,0
1167,41,Yes,Travel_Frequently,Research & Development,Life Sciences,Female,Manager,3,Single,19150,No,1,4,1,1
1168,54,No,Travel_Rarely,Research & Development,Technical Degree,Male,Research Director,2,Married,18553,No,8,3,5,1
1169,26,No,Travel_Rarely,Research & Development,Human Resources,Female,Research Scientist,3,Married,5917,No,7,4,7,0
1170,26,No,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,2,Single,7345,No,0,2,0,0
1171,30,Yes,Travel_Rarely,Research & Development,Medical,Male,Manager,4,Married,20393,No,2,4,2,1
1172,55,No,Travel_Rarely,Research & Development,Other,Female,Research Scientist,4,Divorced,4889,No,1,3,1,0
1173,48,Yes,Non-Travel,Sales,Marketing,Male,Sales Representative,2,Single,3262,No,9,3,9,2
1174,51,No,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,2,Married,3640,No,4,2,4,1
1175,22,No,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,4,Married,16235,No,3,4,3,1
1176,20,No,Travel_Rarely,Sales,Marketing,Female,Manager,4,Divorced,16532,No,1,1,1,0
1177,47,No,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,1,Single,6957,No,7,4,7,0
1178,32,No,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,2,Divorced,4131,No,13,2,5,0
1179,29,No,Travel_Frequently,Sales,Technical Degree,Male,Manager,1,Married,17933,No,3,2,3,0
1180,27,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,3,Married,3822,No,2,4,2,2
1181,42,No,Non-Travel,Research & Development,Other,Female,Manufacturing Director,4,Single,9604,No,6,3,4,1
1182,50,Yes,Travel_Rarely,Human Resources,Human Resources,Female,Human Resources,3,Single,4883,No,3,1,3,0
1183,47,No,Travel_Frequently,Sales,Marketing,Male,Sales Executive,3,Divorced,9426,No,6,2,6,1
1184,42,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,4,Married,6337,No,10,1,6,0
1185,33,Yes,Travel_Frequently,Sales,Technical Degree,Male,Manager,2,Divorced,18440,Yes,7,4,3,0
1186,39,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,2,Married,5949,No,4,1,2,0
1187,59,No,Travel_Frequently,Research & Development,Technical Degree,Female,Laboratory Technician,2,Married,4678,Yes,13,1,13,1
1188,34,Yes,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,1,Divorced,3392,No,3,3,0,0
1189,22,No,Travel_Rarely,Research & Development,Marketing,Male,Manager,1,Married,18722,Yes,3,1,3,0
1190,45,No,Non-Travel,Research & Development,Life Sciences,Male,Research Director,1,Married,21597,No,4,1,4,2
1191,51,No,Travel_Rarely,Research & Development,Medical,Male,Manager,1,Divorced,20416,No,14,3,3,1
1192,59,No,Travel_Frequently,Research & Development,Technical Degree,Male,Research Director,2,Married,18557,No,14,1,6,2
1193,38,No,Non-Travel,Research & Development,Human Resources,Female,Research Scientist,4,Single,5065,Yes,10,3,6,0
1194,36,No,Travel_Rarely,Research & Development,Other,Female,Manager,3,Single,16636,No,13,1,0,0
1195,29,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,1,Single,17402,No,4,1,1,0
1196,28,No,Travel_Rarely,Research & Development,Human Resources,Female,Healthcare Representative,2,Married,8663,No,1,3,1,0
1197,42,No,Non-Travel,Research & Development,Marketing,Female,Research Director,4,Married,15369,No,1,1,1,0
1198,19,No,Travel_Rarely,Sales,Other,Male,Sales Representative,4,Single,2883,Yes,0,2,0,0
1199,20,Yes,Non-Travel,Sales,Other,Male,Sales Representative,4,Married,3113,No,1,3,1,1
1200,28,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,3,Divorced,5703,No,9,4,0,0
1201,23,Yes,Travel_Frequently,Sales,Marketing,Male,Sales Representative,4,Single,2328,No,4,3,0,0
1202,56,No,Travel_Rarely,Human Resources,Marketing,Male,Human Resources,2,Single,4031,Yes,1,4,0,0
1203,38,No,Non-Travel,Sales,Life Sciences,Female,Manager,2,Married,24467,No,17,3,7,0
1204,20,Yes,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,2,Single,3452,Yes,1,1,1,1
1205,59,No,Travel_Frequently,Research & Development,Life Sciences,Female,Manufacturing Director,2,Single,8549,Yes,27,4,0,0
1206,22,Yes,Travel_Rarely,Sales,Medical,Female,Sales Representative,2,Married,2659,Yes,1,3,1,1
1207,21,No,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,1,Divorced,3508,No,2,3,2,2
1208,34,No,Travel_Rarely,Research & Development,Other,Female,Research Director,4,Married,25169,No,9,3,9,3
1209,39,No,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,3,Divorced,6164,No,9,2,0,0
1210,22,No,Travel_Frequently,Sales,Marketing,Female,Manager,2,Divorced,22691,No,3,2,3,1
1211,41,No,Travel_Frequently,Sales,Life Sciences,Male,Manager,4,Single,17958,No,22,3,4,1
1212,20,Yes,Travel_Rarely,Sales,Other,Male,Sales Executive,3,Single,5983,Yes,1,1,0,0
1213,23,No,Travel_Rarely,Research & Development,Technical Degree,Female,Manufacturing Director,2,Single,7367,No,4,4,4,1
1214,58,No,Travel_Rarely,Research & Development,Human Resources,Female,Research Director,2,Divorced,15092,No,15,2,1,1
1215,39,No,Travel_Rarely,Sales,Marketing,Male,Manager,1,Divorced,30641,No,20,2,20,0
1216,59,Yes,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,1,Single,4841,No,13,1,2,0
1217,43,No,Travel_Rarely,Research & Development,Life Sciences,Female,Healthcare Representative,2,Single,8916,No,4,2,2,2
1218,23,No,Travel_Frequently,Research & Development,Technical Degree,Male,Research Scientist,3,Divorced,4894,No,4,4,4,0
1219,22,No,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,3,Married,3623,No,1,3,1,0
1220,28,No,Travel_Rarely,Research & Development,Human Resources,Female,Healthcare Representative,1,Single,8423,No,0,1,0,0
1221,38,No,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,3,Married,5104,No,15,4,3,3
1222,33,No,Travel_Rarely,Research & Development,Technical Degree,Female,Manufacturing Director,4,Divorced,9102,Yes,14,2,4,0
1223,55,No,Travel_Rarely,Research & Development,Technical Degree,Male,Healthcare Representative,2,Single,9534,No,21,1,3,0
1224,27,No,Travel_Rarely,Human Resources,Life Sciences,Male,Human Resources,3,Married,3866,No,0,3,0,0
1225,39,No,Travel_Rarely,Research & Development,Medical,Male,Research Director,4,Single,15582,No,19,1,4,4
1226,37,No,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,4,Divorced,6557,No,18,1,12,4
1227,44,No,Travel_Frequently,Research & Development,Marketing,Female,Manager,3,Married,16050,No,0,1,0,0
1228,25,No,Travel_Rarely,Research & Development,Medical,Female,Manager,4,Divorced,19765,No,6,1,1,0
1229,42,No,Travel_Rarely,Research & Development,Medical,Male,Research Director,1,Single,17490,No,17,2,4,0
1230,42,No,Travel_Rarely,Sales,Other,Female,Sales Executive,1,Single,6907,No,12,2,1,1
1231,56,Yes,Non-Travel,Human Resources,Other,Male,Manager,1,Single,17309,No,8,4,2,2
1232,32,No,Non-Travel,Research & Development,Life Sciences,Male,Manager,2,Married,21345,No,3,2,3,0
1233,60,Yes,Travel_Rarely,Research & Development,Human Resources,Female,Manufacturing Director,4,Divorced,8152,Yes,3,1,3,3
1234,37,No,Travel_Frequently,Research & Development,Other,Male,Research Director,3,Single,19134,No,3,3,0,0
1235,44,No,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,4,Married,20896,No,10,4,6,2
1236,53,Yes,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,2,Divorced,3449,No,10,3,3,3
1237,40,No,Travel_Frequently,Research & Development,Technical Degree,Male,Laboratory Technician,3,Married,3825,No,10,3,1,0
1238,56,Yes,Travel_Rarely,Sales,Medical,Male,Manager,3,Single,18554,Yes,8,4,5,1
1239,48,Yes,Travel_Frequently,Research & Development,Marketing,Male,Research Director,3,Single,14544,No,1,1,1,0
1240,50,Yes,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,4,Divorced,4215,No,15,4,9,0
1241,39,No,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,3,Single,4756,No,14,3,4,0
1242,38,No,Travel_Rarely,Sales,Technical Degree,Female,Sales Executive,2,Single,7422,No,19,3,3,1
1243,20,Yes,Travel_Rarely,Sales,Human Resources,Female,Sales Representative,3,Divorced,2978,No,1,1,1,0
1244,22,No,Travel_Rarely,Research & Development,Medical,Male,Research Director,3,Married,19296,No,3,4,3,0
1245,52,Yes,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,1,Single,6176,Yes,3,3,3,0
1246,52,No,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,4,Single,7077,No,33,3,2,1
